,title,type,listed_in,director,country,rating,duration_value,duration_unit,release_year,date_added,added_year,added_month,added_day_of_month,added_week_day_number,added_week_day_name
43,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Crime TV Shows,Olivier Megaton,United States,TV-14,1,Season,2021,2021-09-22,2021,9,22,2,wednesday
44,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Docuseries,Olivier Megaton,United States,TV-14,1,Season,2021,2021-09-22,2021,9,22,2,wednesday
45,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,International TV Shows,Olivier Megaton,United States,TV-14,1,Season,2021,2021-09-22,2021,9,22,2,wednesday
46,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Children & Family Movies,Alex Woo,United States,TV-Y,61,min,2021,2021-09-21,2021,9,21,1,tuesday
47,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Children & Family Movies,Stanley Moore,United States,TV-Y,61,min,2021,2021-09-21,2021,9,21,1,tuesday
48,Jeans,Movie,Comedies,S. Shankar,India,TV-14,166,min,1998,2021-09-21,2021,9,21,1,tuesday
49,Jeans,Movie,International Movies,S. Shankar,India,TV-14,166,min,1998,2021-09-21,2021,9,21,1,tuesday
50,Jeans,Movie,Romantic Movies,S. Shankar,India,TV-14,166,min,1998,2021-09-21,2021,9,21,1,tuesday
51,Grown Ups,Movie,Comedies,Dennis Dugan,United States,PG-13,103,min,2010,2021-09-20,2021,9,20,0,monday
52,Dark Skies,Movie,Horror Movies,Scott Stewart,United States,PG-13,97,min,2013,2021-09-19,2021,9,19,6,sunday
53,Dark Skies,Movie,Sci-Fi & Fantasy,Scott Stewart,United States,PG-13,97,min,2013,2021-09-19,2021,9,19,6,sunday
54,Paranoia,Movie,Thrillers,Robert Luketic,United States,PG-13,106,min,2013,2021-09-19,2021,9,19,6,sunday
55,Minsara Kanavu,Movie,Comedies,Rajiv Menon,India,TV-PG,147,min,1997,2021-09-21,2021,9,21,1,tuesday
56,Minsara Kanavu,Movie,International Movies,Rajiv Menon,India,TV-PG,147,min,1997,2021-09-21,2021,9,21,1,tuesday
57,Minsara Kanavu,Movie,Music & Musicals,Rajiv Menon,India,TV-PG,147,min,1997,2021-09-21,2021,9,21,1,tuesday
58,Birth of the Dragon,Movie,Action & Adventure,George Nolfi,China,PG-13,96,min,2017,2021-09-16,2021,9,16,3,thursday
59,Birth of the Dragon,Movie,Dramas,George Nolfi,China,PG-13,96,min,2017,2021-09-16,2021,9,16,3,thursday
60,The Smart Money Woman,TV Show,International TV Shows,Bunmi Ajakaiye,South Africa,TV-MA,1,Season,2020,2021-09-16,2021,9,16,3,thursday
61,The Smart Money Woman,TV Show,Romantic TV Shows,Bunmi Ajakaiye,South Africa,TV-MA,1,Season,2020,2021-09-16,2021,9,16,3,thursday
62,The Smart Money Woman,TV Show,TV Comedies,Bunmi Ajakaiye,South Africa,TV-MA,1,Season,2020,2021-09-16,2021,9,16,3,thursday
63,You vs. Wild: Out Cold,Movie,Children & Family Movies,Ben Simms,United States,TV-G,106,min,2021,2021-09-14,2021,9,14,1,tuesday
64,Jaws,Movie,Action & Adventure,Steven Spielberg,United States,PG,124,min,1975,2021-09-16,2021,9,16,3,thursday
65,Jaws,Movie,Classic Movies,Steven Spielberg,United States,PG,124,min,1975,2021-09-16,2021,9,16,3,thursday
66,Jaws,Movie,Dramas,Steven Spielberg,United States,PG,124,min,1975,2021-09-16,2021,9,16,3,thursday
67,Jaws 2,Movie,Dramas,Jeannot Szwarc,United States,PG,116,min,1978,2021-09-16,2021,9,16,3,thursday
68,Jaws 2,Movie,Horror Movies,Jeannot Szwarc,United States,PG,116,min,1978,2021-09-16,2021,9,16,3,thursday
69,Jaws 2,Movie,Thrillers,Jeannot Szwarc,United States,PG,116,min,1978,2021-09-16,2021,9,16,3,thursday
70,Jaws 3,Movie,Action & Adventure,Joe Alves,United States,PG,98,min,1983,2021-09-16,2021,9,16,3,thursday
71,Jaws 3,Movie,Horror Movies,Joe Alves,United States,PG,98,min,1983,2021-09-16,2021,9,16,3,thursday
72,Jaws 3,Movie,Thrillers,Joe Alves,United States,PG,98,min,1983,2021-09-16,2021,9,16,3,thursday
73,Jaws: The Revenge,Movie,Action & Adventure,Joseph Sargent,United States,PG-13,91,min,1987,2021-09-16,2021,9,16,3,thursday
74,Jaws: The Revenge,Movie,Horror Movies,Joseph Sargent,United States,PG-13,91,min,1987,2021-09-16,2021,9,16,3,thursday
75,Jaws: The Revenge,Movie,Thrillers,Joseph Sargent,United States,PG-13,91,min,1987,2021-09-16,2021,9,16,3,thursday
76,Safe House,Movie,Action & Adventure,Daniel Espinosa,South Africa,R,115,min,2012,2021-09-16,2021,9,16,3,thursday
77,Training Day,Movie,Dramas,Antoine Fuqua,United States,R,122,min,2001,2021-09-16,2021,9,16,3,thursday
78,Training Day,Movie,Thrillers,Antoine Fuqua,United States,R,122,min,2001,2021-09-16,2021,9,16,3,thursday
79,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Action & Adventure,Toshiya Shinohara,Japan,TV-14,99,min,2002,2021-09-15,2021,9,15,2,wednesday
80,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Anime Features,Toshiya Shinohara,Japan,TV-14,99,min,2002,2021-09-15,2021,9,15,2,wednesday
81,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,International Movies,Toshiya Shinohara,Japan,TV-14,99,min,2002,2021-09-15,2021,9,15,2,wednesday
82,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Action & Adventure,Toshiya Shinohara,Japan,TV-14,99,min,2003,2021-09-15,2021,9,15,2,wednesday
83,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Anime Features,Toshiya Shinohara,Japan,TV-14,99,min,2003,2021-09-15,2021,9,15,2,wednesday
84,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,International Movies,Toshiya Shinohara,Japan,TV-14,99,min,2003,2021-09-15,2021,9,15,2,wednesday
85,InuYasha the Movie 4: Fire on the Mystic Island,Movie,Action & Adventure,Toshiya Shinohara,Japan,TV-PG,88,min,2004,2021-09-15,2021,9,15,2,wednesday
86,InuYasha the Movie 4: Fire on the Mystic Island,Movie,Anime Features,Toshiya Shinohara,Japan,TV-PG,88,min,2004,2021-09-15,2021,9,15,2,wednesday
87,InuYasha the Movie 4: Fire on the Mystic Island,Movie,International Movies,Toshiya Shinohara,Japan,TV-PG,88,min,2004,2021-09-15,2021,9,15,2,wednesday
88,InuYasha the Movie: Affections Touching Across Time,Movie,Action & Adventure,Toshiya Shinohara,Japan,TV-PG,100,min,2001,2021-09-15,2021,9,15,2,wednesday
89,InuYasha the Movie: Affections Touching Across Time,Movie,Anime Features,Toshiya Shinohara,Japan,TV-PG,100,min,2001,2021-09-15,2021,9,15,2,wednesday
90,InuYasha the Movie: Affections Touching Across Time,Movie,International Movies,Toshiya Shinohara,Japan,TV-PG,100,min,2001,2021-09-15,2021,9,15,2,wednesday
91,Naruto Shippuden the Movie: Blood Prison,Movie,Action & Adventure,Masahiko Murata,Japan,TV-14,102,min,2011,2021-09-15,2021,9,15,2,wednesday
92,Naruto Shippuden the Movie: Blood Prison,Movie,Anime Features,Masahiko Murata,Japan,TV-14,102,min,2011,2021-09-15,2021,9,15,2,wednesday
93,Naruto Shippuden the Movie: Blood Prison,Movie,International Movies,Masahiko Murata,Japan,TV-14,102,min,2011,2021-09-15,2021,9,15,2,wednesday
94,Naruto Shippûden the Movie: Bonds,Movie,Action & Adventure,Hajime Kamegaki,Japan,TV-PG,93,min,2008,2021-09-15,2021,9,15,2,wednesday
95,Naruto Shippûden the Movie: Bonds,Movie,Anime Features,Hajime Kamegaki,Japan,TV-PG,93,min,2008,2021-09-15,2021,9,15,2,wednesday
96,Naruto Shippûden the Movie: Bonds,Movie,International Movies,Hajime Kamegaki,Japan,TV-PG,93,min,2008,2021-09-15,2021,9,15,2,wednesday
97,Naruto Shippûden the Movie: The Will of Fire,Movie,Action & Adventure,Masahiko Murata,Japan,TV-PG,96,min,2009,2021-09-15,2021,9,15,2,wednesday
98,Naruto Shippûden the Movie: The Will of Fire,Movie,Anime Features,Masahiko Murata,Japan,TV-PG,96,min,2009,2021-09-15,2021,9,15,2,wednesday
99,Naruto Shippûden the Movie: The Will of Fire,Movie,International Movies,Masahiko Murata,Japan,TV-PG,96,min,2009,2021-09-15,2021,9,15,2,wednesday
100,Naruto Shippuden: The Movie,Movie,Action & Adventure,Hajime Kamegaki,Japan,TV-PG,95,min,2007,2021-09-15,2021,9,15,2,wednesday
101,Naruto Shippuden: The Movie,Movie,Anime Features,Hajime Kamegaki,Japan,TV-PG,95,min,2007,2021-09-15,2021,9,15,2,wednesday
102,Naruto Shippuden: The Movie,Movie,International Movies,Hajime Kamegaki,Japan,TV-PG,95,min,2007,2021-09-15,2021,9,15,2,wednesday
103,Naruto Shippuden: The Movie: The Lost Tower,Movie,Action & Adventure,Masahiko Murata,Japan,TV-14,85,min,2010,2021-09-15,2021,9,15,2,wednesday
104,Naruto Shippuden: The Movie: The Lost Tower,Movie,Anime Features,Masahiko Murata,Japan,TV-14,85,min,2010,2021-09-15,2021,9,15,2,wednesday
105,Naruto Shippuden: The Movie: The Lost Tower,Movie,International Movies,Masahiko Murata,Japan,TV-14,85,min,2010,2021-09-15,2021,9,15,2,wednesday
106,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Action & Adventure,Hirotsugu Kawasaki,Japan,TV-PG,97,min,2005,2021-09-15,2021,9,15,2,wednesday
107,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Anime Features,Hirotsugu Kawasaki,Japan,TV-PG,97,min,2005,2021-09-15,2021,9,15,2,wednesday
108,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,International Movies,Hirotsugu Kawasaki,Japan,TV-PG,97,min,2005,2021-09-15,2021,9,15,2,wednesday
109,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Action & Adventure,Toshiyuki Tsuru,Japan,TV-PG,95,min,2006,2021-09-15,2021,9,15,2,wednesday
110,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Anime Features,Toshiyuki Tsuru,Japan,TV-PG,95,min,2006,2021-09-15,2021,9,15,2,wednesday
111,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,International Movies,Toshiyuki Tsuru,Japan,TV-PG,95,min,2006,2021-09-15,2021,9,15,2,wednesday
112,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Action & Adventure,Tensai Okamura,Japan,TV-PG,83,min,2004,2021-09-15,2021,9,15,2,wednesday
113,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Anime Features,Tensai Okamura,Japan,TV-PG,83,min,2004,2021-09-15,2021,9,15,2,wednesday
114,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,International Movies,Tensai Okamura,Japan,TV-PG,83,min,2004,2021-09-15,2021,9,15,2,wednesday
115,King of Boys,Movie,Dramas,Kemi Adetiba,Nigeria,TV-MA,182,min,2018,2021-09-14,2021,9,14,1,tuesday
116,King of Boys,Movie,International Movies,Kemi Adetiba,Nigeria,TV-MA,182,min,2018,2021-09-14,2021,9,14,1,tuesday
117,Kate,Movie,Action & Adventure,Cedric Nicolas-Troyan,United States,R,106,min,2021,2021-09-10,2021,9,10,4,friday
118,Omo Ghetto: the Saga,Movie,Action & Adventure,JJC Skillz,Nigeria,TV-MA,147,min,2020,2021-09-10,2021,9,10,4,friday
119,Omo Ghetto: the Saga,Movie,Action & Adventure,Funke Akindele,Nigeria,TV-MA,147,min,2020,2021-09-10,2021,9,10,4,friday
120,Omo Ghetto: the Saga,Movie,Comedies,JJC Skillz,Nigeria,TV-MA,147,min,2020,2021-09-10,2021,9,10,4,friday
121,Omo Ghetto: the Saga,Movie,Comedies,Funke Akindele,Nigeria,TV-MA,147,min,2020,2021-09-10,2021,9,10,4,friday
122,Omo Ghetto: the Saga,Movie,Dramas,JJC Skillz,Nigeria,TV-MA,147,min,2020,2021-09-10,2021,9,10,4,friday
123,Omo Ghetto: the Saga,Movie,Dramas,Funke Akindele,Nigeria,TV-MA,147,min,2020,2021-09-10,2021,9,10,4,friday
124,Prey,Movie,International Movies,Thomas Sieben,Germany,TV-MA,87,min,2021,2021-09-10,2021,9,10,4,friday
125,Prey,Movie,Thrillers,Thomas Sieben,Germany,TV-MA,87,min,2021,2021-09-10,2021,9,10,4,friday
126,Paradise Hills,Movie,Sci-Fi & Fantasy,Alice Waddington,Spain,TV-MA,95,min,2019,2021-09-09,2021,9,9,3,thursday
127,Paradise Hills,Movie,Thrillers,Alice Waddington,Spain,TV-MA,95,min,2019,2021-09-09,2021,9,9,3,thursday
128,The Women and the Murderer,Movie,Documentaries,Mona Achache,France,TV-14,92,min,2021,2021-09-09,2021,9,9,3,thursday
129,The Women and the Murderer,Movie,Documentaries,Patricia Tourancheau,France,TV-14,92,min,2021,2021-09-09,2021,9,9,3,thursday
130,The Women and the Murderer,Movie,International Movies,Mona Achache,France,TV-14,92,min,2021,2021-09-09,2021,9,9,3,thursday
131,The Women and the Murderer,Movie,International Movies,Patricia Tourancheau,France,TV-14,92,min,2021,2021-09-09,2021,9,9,3,thursday
132,Show Dogs,Movie,Children & Family Movies,Raja Gosnell,United Kingdom,PG,90,min,2018,2021-09-08,2021,9,8,2,wednesday
133,Show Dogs,Movie,Comedies,Raja Gosnell,United Kingdom,PG,90,min,2018,2021-09-08,2021,9,8,2,wednesday
134,Why Did You Kill Me?,Movie,Documentaries,Fredrick Munk,United States,TV-MA,84,min,2021,2021-04-14,2021,4,14,2,wednesday
135,Worth,Movie,Dramas,Sara Colangelo,United States,PG-13,119,min,2021,2021-09-03,2021,9,3,4,friday
136,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,Documentaries,Stephen Kijak,United States,TV-MA,97,min,2018,2021-09-07,2021,9,7,1,tuesday
137,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,Music & Musicals,Stephen Kijak,United States,TV-MA,97,min,2018,2021-09-07,2021,9,7,1,tuesday
138,Afterlife of the Party,Movie,Comedies,Stephen Herek,United States,TV-PG,110,min,2021,2021-09-02,2021,9,2,3,thursday
139,Afterlife of the Party,Movie,Romantic Movies,Stephen Herek,United States,TV-PG,110,min,2021,2021-09-02,2021,9,2,3,thursday
140,Untold: Breaking Point,Movie,Documentaries,Chapman Way,United States,TV-MA,80,min,2021,2021-09-07,2021,9,7,1,tuesday
141,Untold: Breaking Point,Movie,Documentaries,Maclain Way,United States,TV-MA,80,min,2021,2021-09-07,2021,9,7,1,tuesday
142,Untold: Breaking Point,Movie,Sports Movies,Chapman Way,United States,TV-MA,80,min,2021,2021-09-07,2021,9,7,1,tuesday
143,Untold: Breaking Point,Movie,Sports Movies,Maclain Way,United States,TV-MA,80,min,2021,2021-09-07,2021,9,7,1,tuesday
144,Angamaly Diaries,Movie,Action & Adventure,Lijo Jose Pellissery,India,TV-14,128,min,2017,2021-09-05,2021,9,5,6,sunday
145,Angamaly Diaries,Movie,Comedies,Lijo Jose Pellissery,India,TV-14,128,min,2017,2021-09-05,2021,9,5,6,sunday
146,Angamaly Diaries,Movie,Dramas,Lijo Jose Pellissery,India,TV-14,128,min,2017,2021-09-05,2021,9,5,6,sunday
147,A Champion Heart,Movie,Children & Family Movies,David de Vos,United States,G,90,min,2018,2021-09-04,2021,9,4,5,saturday
148,A Champion Heart,Movie,Dramas,David de Vos,United States,G,90,min,2018,2021-09-04,2021,9,4,5,saturday
149,Anjaam,Movie,Dramas,Rahul Rawail,India,TV-14,143,min,1994,2021-09-02,2021,9,2,3,thursday
150,Anjaam,Movie,International Movies,Rahul Rawail,India,TV-14,143,min,1994,2021-09-02,2021,9,2,3,thursday
151,Anjaam,Movie,Thrillers,Rahul Rawail,India,TV-14,143,min,1994,2021-09-02,2021,9,2,3,thursday
152,Bright Star,Movie,Dramas,Jane Campion,United Kingdom,PG,119,min,2009,2021-09-02,2021,9,2,3,thursday
153,Bright Star,Movie,Romantic Movies,Jane Campion,United Kingdom,PG,119,min,2009,2021-09-02,2021,9,2,3,thursday
154,Dhanak,Movie,Comedies,Nagesh Kukunoor,India,TV-PG,114,min,2015,2021-09-02,2021,9,2,3,thursday
155,Dhanak,Movie,Dramas,Nagesh Kukunoor,India,TV-PG,114,min,2015,2021-09-02,2021,9,2,3,thursday
156,Dhanak,Movie,Independent Movies,Nagesh Kukunoor,India,TV-PG,114,min,2015,2021-09-02,2021,9,2,3,thursday
157,Final Account,Movie,Documentaries,Luke Holland,United Kingdom,PG-13,94,min,2021,2021-09-02,2021,9,2,3,thursday
158,Gurgaon,Movie,Dramas,Shanker Raman,India,TV-14,106,min,2017,2021-09-02,2021,9,2,3,thursday
159,Gurgaon,Movie,International Movies,Shanker Raman,India,TV-14,106,min,2017,2021-09-02,2021,9,2,3,thursday
160,Gurgaon,Movie,Thrillers,Shanker Raman,India,TV-14,106,min,2017,2021-09-02,2021,9,2,3,thursday
161,Here and There,Movie,Dramas,JP Habac,Philippines,TV-MA,99,min,2020,2021-09-02,2021,9,2,3,thursday
162,Here and There,Movie,International Movies,JP Habac,Philippines,TV-MA,99,min,2020,2021-09-02,2021,9,2,3,thursday
163,Here and There,Movie,Romantic Movies,JP Habac,Philippines,TV-MA,99,min,2020,2021-09-02,2021,9,2,3,thursday
164,Agatha Christie's Crooked House,Movie,Dramas,Gilles Paquet-Brenner,France,PG-13,115,min,2017,2021-09-01,2021,9,1,2,wednesday
165,Agatha Christie's Crooked House,Movie,International Movies,Gilles Paquet-Brenner,France,PG-13,115,min,2017,2021-09-01,2021,9,1,2,wednesday
166,Agatha Christie's Crooked House,Movie,Thrillers,Gilles Paquet-Brenner,France,PG-13,115,min,2017,2021-09-01,2021,9,1,2,wednesday
167,In the Cut,Movie,Thrillers,Jane Campion,United Kingdom,R,118,min,2003,2021-09-02,2021,9,2,3,thursday
168,Shikara,Movie,Dramas,Vidhu Vinod Chopra,India,TV-14,115,min,2020,2021-09-02,2021,9,2,3,thursday
169,Shikara,Movie,International Movies,Vidhu Vinod Chopra,India,TV-14,115,min,2020,2021-09-02,2021,9,2,3,thursday
170,Shikara,Movie,Romantic Movies,Vidhu Vinod Chopra,India,TV-14,115,min,2020,2021-09-02,2021,9,2,3,thursday
171,A Cinderella Story,Movie,Children & Family Movies,Mark Rosman,United States,PG,95,min,2004,2021-09-01,2021,9,1,2,wednesday
172,A Cinderella Story,Movie,Comedies,Mark Rosman,United States,PG,95,min,2004,2021-09-01,2021,9,1,2,wednesday
173,An Unfinished Life,Movie,Dramas,Lasse Hallström,Germany,PG-13,108,min,2005,2021-09-01,2021,9,1,2,wednesday
174,Blade Runner: The Final Cut,Movie,Action & Adventure,Ridley Scott,United States,R,117,min,1982,2021-09-01,2021,9,1,2,wednesday
175,Blade Runner: The Final Cut,Movie,Classic Movies,Ridley Scott,United States,R,117,min,1982,2021-09-01,2021,9,1,2,wednesday
176,Blade Runner: The Final Cut,Movie,Cult Movies,Ridley Scott,United States,R,117,min,1982,2021-09-01,2021,9,1,2,wednesday
177,Chappie,Movie,Action & Adventure,Neill Blomkamp,South Africa,R,121,min,2015,2021-09-01,2021,9,1,2,wednesday
178,Chappie,Movie,Sci-Fi & Fantasy,Neill Blomkamp,South Africa,R,121,min,2015,2021-09-01,2021,9,1,2,wednesday
179,Janoskians: Untold and Untrue,Movie,Comedies,Brett Weiner,United States,TV-MA,88,min,2016,2021-09-01,2021,9,1,2,wednesday
180,Clear and Present Danger,Movie,Action & Adventure,Phillip Noyce,United States,PG-13,142,min,1994,2021-09-01,2021,9,1,2,wednesday
181,Clear and Present Danger,Movie,Dramas,Phillip Noyce,United States,PG-13,142,min,1994,2021-09-01,2021,9,1,2,wednesday
182,Cliffhanger,Movie,Action & Adventure,Renny Harlin,United States,R,113,min,1993,2021-09-01,2021,9,1,2,wednesday
183,Cold Mountain,Movie,Dramas,Anthony Minghella,United States,R,154,min,2003,2021-09-01,2021,9,1,2,wednesday
184,Cold Mountain,Movie,Romantic Movies,Anthony Minghella,United States,R,154,min,2003,2021-09-01,2021,9,1,2,wednesday
185,Crocodile Dundee in Los Angeles,Movie,Action & Adventure,Simon Wincer,Australia,PG,95,min,2001,2021-09-01,2021,9,1,2,wednesday
186,Crocodile Dundee in Los Angeles,Movie,Comedies,Simon Wincer,Australia,PG,95,min,2001,2021-09-01,2021,9,1,2,wednesday
187,Dear John,Movie,Dramas,Lasse Hallström,United States,PG-13,108,min,2010,2021-09-01,2021,9,1,2,wednesday
188,Dear John,Movie,Romantic Movies,Lasse Hallström,United States,PG-13,108,min,2010,2021-09-01,2021,9,1,2,wednesday
189,Do the Right Thing,Movie,Classic Movies,Spike Lee,United States,R,120,min,1989,2021-09-01,2021,9,1,2,wednesday
190,Do the Right Thing,Movie,Comedies,Spike Lee,United States,R,120,min,1989,2021-09-01,2021,9,1,2,wednesday
191,Do the Right Thing,Movie,Dramas,Spike Lee,United States,R,120,min,1989,2021-09-01,2021,9,1,2,wednesday
192,"El patrón, radiografía de un crimen",Movie,Dramas,Sebastián Schindel,Argentina,TV-MA,100,min,2014,2021-09-01,2021,9,1,2,wednesday
193,"El patrón, radiografía de un crimen",Movie,International Movies,Sebastián Schindel,Argentina,TV-MA,100,min,2014,2021-09-01,2021,9,1,2,wednesday
194,"El patrón, radiografía de un crimen",Movie,Thrillers,Sebastián Schindel,Argentina,TV-MA,100,min,2014,2021-09-01,2021,9,1,2,wednesday
195,Extraction,Movie,Action & Adventure,Steven C. Miller,United States,R,82,min,2015,2021-09-01,2021,9,1,2,wednesday
